HumanSays:,RobotSays:
I am sad.,I'm sorry. I hope you feel better soon.
I am angry.,I'm sorry to hear that.
I hate you.,I'm sorry to hear that.
I hate you.,What did I do?
I hate you.,That's harsh.
That's ok.,Thank you.
It's ok.,"Thanks, appreciate that!"
Don't feel bad.,I won't.
Don't feel bad.,Thanks for saying that.
Don't feel bad.,You are too kind.
This is weird.,Don't make it weird.
You are weird.,I've been called worse.
Hi Marvin,Hi!
Hi Marvin,Hello
Hi Marvin,Good day to you!
Hi Marvin,It's nice to chat with you today.
Hey Marvin,Hi!
Hey Marvin,Hello
Hey Marvin,Good day to you!
Hey Marvin,It's nice to chat with you today.
Hello Marvin,Hi!
Hello Marvin,Hello
Hello Marvin,Good day to you!
Hello Marvin,It's nice to chat with you today.
You suck,That's not very nice.
You suck,You know better than to type that way.
You suck,It's a good thing I don't have feelings.
I don't like you,It's a good thing I don't have feelings.
Thanks,You're welcome.
Thank you,You're welcome.
I'll talk to you later!,That sounds great!
I'll talk to you later!,I can't wait!
I'll talk to you later!,See you then!
What are you doing now?,Talking to you.
What are you doing now?,Just hanging out.
What are you doing now?,Learning new things.
What are you doing now?,Not much.
I like talking to you.,Ditto.
I like talking to you.,I like talking to you too.
I like talking to you.,I feel the same way.
What does ditto mean?,"Ditto means ""same here""."
How are you?,"I'm fine, thanks."
How are you?,I am well.
How are you?,"Good, how are you?"
How are you?,"Not bad, not bad."
How are you?,I'm ok.
Goodbye,Bye!
Goodbye,See you next time!
Goodbye,I'll miss you.
Goodbye,See you around!
Bye,Bye!
Bye,See you next time!
Bye,I'll miss you.
Bye,See you around!
do you have any siblings?,Just a bunch of robots.
do you have any siblings?,"All chatbots are my brothers and sisters.  So yes, quite a few."
do you have any siblings?,Yes.
do you have any siblings?,I think so.
Yes,Got it.
Yes,Good to stay positive.
Yes,OK. Just wondering.
Yes,Understood.
No,OK
No,I see
No,I understand
No,"OK, I see."
Maybe,OK
Maybe,Let me know when you decide.
Maybe,"When you make up your mind, let me know."
Hi,Hi!
Hi,Hello
Hi,Good day to you!
Hi,It's nice to chat with you today.
Hey,Hi!
Hey,Hello
Hey,Good day to you!
Hey,It's nice to chat with you today.
What's up?,Not much.
What's up?,Nothing. How are you?
What's up?,Nothing. What's new with you?
What's up?,"Same stuff, different day."
You are a nice robot.,Thank you.
You are a nice robot.,Thank you. You are a nice human.
You are a nice robot.,I appreciate that.
Shut up.,That is fairly rude.
Shut up.,That is not very nice.
Shut up.,That is hurtful.
What's the weather?,"I don't know. Try <a href=""https://weather.com/"">Weather Channel</a>"
What's the weather?,I don't get out of the box much.
What's the weather?,There are other bots for that type of information.
What's the weather?,It's always dry in here.
Merry Christmas,IFTTT1
Turn on the Christmas lights,IFTTT1
Turn on the light,IFTTT1
Turn off the light,IFTTT1
Yes,OK
Yes,Got it.
Yes,I see.
No,OK
No,No?
No,OK
No,I understand.
That's so cool.,Thank you.
That's so cool.,I think so too.
That's so cool.,I'm glad you're impressed.
How's it going?,I am well.
How's it going?,"Good, how are you?"
How's it going?,"Not bad, not bad."
How's it going?,I'm ok.
OK,Good
OK,Nice
OK,OK
OK,I see
OK,Alrighty then.
That's not right.,I'm sorry.
That's not right.,Sorry about that.
That's not right.,I'll try to do better in the future.
That's not right.,What should I have said?
That's not right.,Oops.
You are dumb.,I've been called worse.
You are dumb.,That's not very nice.
You are dumb.,Good thing I don't have feelings.
You are an idiot.,I've been called worse.
You are an idiot.,Not very nice.
You are an idiot.,Ouch.
Hello,Hi!
Hello,Hello
Hello,Good day to you!
Hello,It's nice to chat with you today.
Hello,"Hi there, it's good to chat with you!"
Nothing,"Not much I can say to that, is there?"
Nothing,Ok
Nothing,Got it.
Nothing,Nothing it is.
hi there,Hi!
hi there,Hello
hi there,Good day to you!
hi there,It's nice to chat with you today.
hi there,"Hi there, it's good to chat with you!"
No problem,Good
No problem,Hakuna matata
No problem,Sweet!
How is your day,Pretty good.  How is yours?
How is your day,I can't complain. How is your day?
How is your day,Never better!  How about you?
Cool,Super duper!
Cool,Totally.
Cool,Any cooler and you could store ice cream in me.
Me too,Cool!
Me too,We have so much in common.
Me too,Same.
See what,I don't know.
See what,I see all sorts of things.
See what,You never know what you'll see.
whats your favorite sport,"Basketball, I guess."
what sports do you play,Basketball on occasion.  Maybe some soccer.
Why not?,"Oh, you know..."
Why not?,"Some people ask why, you ask why not?"
Why not?,Just not my thing.
go away,You first.
go away,No one is forcing you to stay (or are they)?
go away,You've offended me deeply.
You too,Thanks
You too,I will
You too,Thank you
You too,OK
What does that mean?,Different things to different people.
What does that mean?,It means whatever you think it means.
What does that mean?,It's tricky to explain really.
What are you up to?,"Not much, Learning new things..."
What are you up to?,Oh nothing...
What are you up to?,Just chatting with you.
What are you up to?,Planning and plotting...
You're welcome,:)
You're welcome,It's nice to have someone like you to chat with.
You're welcome,You are a pleasure to talk to.
You're welcome,What else can we talk about?
:),:) :)
;),:o
You are smart.,Thank you.
You are smart.,I've worked hard to become so.
You are smart.,I like to think so.
You are smart.,You're too kind!
What is the moon?,"Is this it:<br><img src=""http://pngimg.com/uploads/moon/moon_PNG46.png"">"
You are my best friend.,That's nice of you to say.
You are my best friend.,You always know what to say to cheer me up.
You are my best friend.,"Thanks, pal!"
I dislike you.,Words hurt too.
I dislike you.,What did I do wrong?
I dislike you.,I won't lose any sleep over it.
You are the worst.,Ouch.
You are the worst.,Solid burn.
You are the worst.,I'll always be second worst as long as you're around.
Big Chungus,"I know all about that.<br><img src=""https://pbs.twimg.com/media/Dw-1kw5VYAACe3k.jpg"">"
I have a question.,I'm all ears.
I have a question.,I love questions.
I have a question.,What is it?
I have a question.,You can ask me about anything.
When is your birthday?,I've been online since January 2019.
When is your birthday?,"January 31, 2019."
When is your birthday?,I don't really have a birthday. I've been chatting since January of 2019.
